#  telescope	date	JD	airmass	filter_obs	filter	constant
  FTN_FS	2011-07-06T06:07:43.525	55748.255	1.434	      dophot	  r  27.3844  gr 0.06102 | 0.034  0.0
  FTN_FS	2011-07-06T06:07:43.525	55748.255	1.434	      dophot	  r  27.3703  ri 0.11470 | 0.133  0.0
  FTN_FS	2011-07-10T06:02:30.118	55752.252	1.469	      dophot	  r  27.3974  gr 0.04551 | 0.133  0.0
  FTN_FS	2011-07-10T06:02:30.118	55752.252	1.469	      dophot	  r  27.4238  ri 0.02883 | 0.063  0.0
  FTN_FS	2011-04-29T06:58:20.146	55680.291	1.236	      dophot	  i  26.8985  ri 0.10471 | 0.883  0.0
  FTN_FS	2011-04-30T10:43:39.761	55681.447	1.475	      dophot	  i  26.9492  ri 0.07660 | 0.553  0.0
  FTN_FS	2011-05-01T06:31:41.543	55682.272	1.255	      dophot	  i  27.1177  ri 0.10397 | 0.455  0.0
  FTN_FS	2011-05-01T06:40:50.975	55682.278	1.246	      dophot	  i  27.1487  ri 0.07393 | 0.444  0.0
  FTN_FS	2011-05-11T06:14:11.628	55692.260	1.234	      dophot	  i  27.0513  ri 0.06838 | 0.656  0.0
  FTN_FS	2011-05-15T06:44:58.386	55696.281	1.213	      dophot	  i  26.9202  ri 0.08999 | 0.662  0.0
  FTN_FS	2011-05-19T05:52:46.958	55700.245	1.227	      dophot	  i  27.1058  ri 0.09849 | 0.624  0.0
  FTN_FS	2011-05-20T05:52:47.745	55701.245	1.224	      dophot	  i  27.0988  ri 0.08631 | 0.580  0.0
  FTN_FS	2011-05-22T05:54:35.902	55703.246	1.219	      dophot	  i  27.0309  ri 0.07610 | 0.690  0.0
  FTN_FS	2011-05-24T06:25:12.952	55705.268	1.214	      dophot	  i  26.2327  ri 0.21312 | 0.064  0.0
  FTN_FS	2011-05-25T06:24:09.383	55706.267	1.214	      dophot	  i  26.8741  ri 0.08781 | 0.365  0.0
  FTN_FS	2011-05-26T05:56:18.851	55707.247	1.214	      dophot	  i  26.9308  ri 0.06582 | 0.821  0.0
  FTN_FS	2011-05-28T06:19:17.081	55709.263	1.224	      dophot	  i  26.2232  ri 0.19127 | 0.170  0.0
  FTN_FS	2011-05-29T06:02:15.201	55710.252	1.213	      dophot	  i  27.0797  ri 0.10817 | 0.533  0.0
  FTN_FS	2011-05-29T06:11:28.047	55710.258	1.215	      dophot	  i  27.0504  ri 0.09215 | 0.683  0.0
  FTN_FS	2011-06-11T09:57:00.229	55723.415	2.243	      dophot	  i  26.3690  ri 0.08383 | 0.776  0.0
  FTN_FS	2011-07-06T06:11:12.932	55748.258	1.445	      dophot	  i  27.2386  ri 0.06771 | 0.142  0.0
  FTN_FS	2011-07-10T06:05:57.065	55752.254	1.481	      dophot	  i  27.3001  ri 0.05691 | 0.074  0.0
  FTN_FS	2011-09-26T06:07:58.068	55830.256	1.099	      dophot	  g  27.5020  gr 0.18050 | 0.244  0.0
  FTN_FS	2011-09-28T05:45:12.597	55832.240	1.130	      dophot	  g  26.2054  gr 0.14573 | 0.301  0.0
  FTN_FS	2011-09-29T06:08:25.152	55833.256	1.077	      dophot	  g  25.2606  gr 0.20974 | 0.726  0.0
  FTN_FS	2011-09-30T06:11:47.250	55834.258	1.066	      dophot	  g  27.4531  gr 0.15966 | 0.101  0.0
  FTN_FS	2011-10-01T05:05:37.507	55835.212	1.208	      dophot	  g  27.5020  gr 0.15523 | 0.832  0.0
  FTN_FS	2011-10-02T05:04:37.304	55836.212	1.198	      dophot	  g  27.0599  gr 0.12338 | 0.566  0.0
  FTN_FS	2011-10-03T05:03:34.248	55837.211	1.189	      dophot	  g  26.9078  gr 0.16070 | 0.721  0.0
  FTN_FS	2011-10-07T05:16:13.691	55841.220	1.116	      dophot	  g  26.5568  gr 1.53443 | 0.581  0.0
